title,sentence,score
올드,나만 재밌었음..? 원래 이렇게 현실자각하고 보면 안되는 영화는 기대 안하고 보는데 전혀 예상못한 결말이라 감명받았음 결말은 일본 마루타가 생각남 ,10
앵커,"의미심장한 메시지를 남기는, 무겁지만 외면할 수 없는 영화",10
쿠폰의 여왕,내용은 예상에서 크게 벗어나지 않으나 가끔 나오는 웃음 포인트가 재미를 선사한다.,7
신비한 동물들과 덤블도어의 비밀,해덕이라면 재밌게볼듯,10
푸른 호수,"과거 국제 입양의 헛점이 지금도 고통을 주고 있음을 알게 해준 영화입니다. 연기, 스토리 모두 일품이네요. 전감독님 연기 너무 잘해요. 예전 차인표쌤과 나온 영화에서 교포 연기 했던 분이었다니 .. 역시나 싶어요. ",10
말할 수 없는 비밀,"과거에도, 현재도, 미래에도 10점인 나의 전무후무한 인생영화",10
지니어스,가끔 천재성을 가진 친구를 하나정도 알고있었으면 좋겠다는 생각을 해봤다. 왜냐구? 독특하잖아. 그런데 둘은 싫다. 왜냐구? 골치아파~ ㅎㅎㅎ,8
내가 처음으로 사랑한 소녀,"퀴어영화에 뭘 더 바라는가?그들의 사랑이 순간 아름다웠으면 됐지, 사실 그게 전부다. 우리는 한순간으로 하루를 살아가고 다시 또 그게 모여서 추억이 된다.여러 감정에 휘둘려 다니지 말고 한가지 감정에 집중하자, 그것만으로 만족하며 살아가야 한다.",10
신비한 동물들과 덤블도어의 비밀,호그와트가 나오는데 너무 좋았음 ㅠㅠ 동물들도 귀엽고!,10
니 부모 얼굴이 보고 싶다,보고 피해자 생각에 마음이 아팠습니다…,10
서울괴담,죄다애매하고 중간에 끊긴느낌 빨간귀신이 벽타고올라갈때부터 뭔가 잘못됨을 느낌,2
분노의 질주: 더 얼티메이트,7편에서 끝났어야 했다.. 이젠 나락릐 길로 가는군.. 내가 알던 분질은 없어졌다..,5
그린 북,가슴이먹먹합니다늦게나마 볼수있게되어 영광인 작품입니다,10
샹치와 텐 링즈의 전설,영상미가 너무좋아서 놀랐고 디즈니플러스로 이터널스보면서 이게뭐지...하다가 바로 샹치보니까 타격감좋은 액션과 몇인물에 포커싱된 몰입감이 좋았어요!보고난 감상으로 7점대는 절대 아닌거 같고 10점만점으로 아쉬운점이 없다고 할순없지만 평점이 너무 너프당해있는거같아서 10점 남기고 가요!간만에 재밌게 영화봣네요 ㅎㅎㅎㅎ,10
앵커,오랜만에 재미있게 본 영화입니다. ,10
킹스맨: 골든 서클,이게 영화인가? 허무맹랑한 쓰레기 영화.,1
푸른 호수,어제 궁금한 이야기 Y에서 보았던 분 이야기와 비슷해서 가슴 먹먹하면서 보게 되었네요. 추방되어 한국에 와도 정착하지 못하고 떠돌이 생활을 해야하는 미국 시민권 없는 이민자의 가슴 아픈 사연 잘 봤습니다. ,10
말모이,정말감사합니다.저희말을지켜주셔서고맙습니다감사합니다우리모두 잊지말길바랍니다,10
니 부모 얼굴이 보고 싶다,자식은 부모의 거울이다.,6
서울괴담,공포영화를 보면서 놀래지 않았던 적은 처음인 영화 ,1
더 배트맨,진짜 배트맨 영화. 그 어둡고 우울한 분위기 그게 진짜 배트맨이지.,10
소녀가 소녀에게,이렇게 이쁜 여주가 왕따라니...세상이 미쳐돌아가네 순수함의 결정체 같이 생긴애가 왕따 ㄷㄷ,10
쟈니 잉글리쉬,"저 보는거 같아서 엄청 웃었네요. 떨어지는 외향감각(se)ㅋㅋ. Se장착한 인싸들 동경하고 따라하다 잘했다 싶음 금방 콧대올라갔다가  바로바로 주변상황 못읽어서 길잃고 사람잘못보고 물건떨어뜨리는 등 칠칠치못한 사고치고 말만 청산유수요 실용성없는 지식은 또 이렇게 많이 알고있는지. 위급상황시마다 겸손하고 충실한 isfj부하직원에게 도움받음ㅋㅋ근데 미스터빈에서도였지만 운전하나는 기가막히게 함 ㅋㅋ인팁엔팁들은 다 보시길. 형식과 권위에 치중하는 영국을 풍자하기도 하고  영국식 유머, 프랑스 욕하면서 여행은 프랑스로 가는 영국인의 위선을 꼬집기도.. 볼만해요 ㅋㅋㅋ ",10
굿모닝 에브리원,그냥 당 떨어질때 단거 먹듯이 의욕 떨어지고 기죽을때 보는 영화. 레이첼처럼 상콤발랄하고 에너지 주입해주는 영화!,10
나의 촛불,"시대착오적인 영화도 아닌, 다큐도 아닌 선전물이 또 나와부렸어",1
오아시스,남들  눈에는 못마땅하고 모자란 것 투성일지라도 서로에게는 완벽한 사랑,8
앵커,사회적 문제를 적절히 다룬듯..재밌었다영화관에 나 혼자만 있어서 무서워ㅛ름 ㅎ,10
니 부모 얼굴이 보고 싶다,완벽한 피해자가 아닌 결국 가해자,7
신비한 동물들과 덤블도어의 비밀,지루함. 재미없음. 돈 아까움.,2
히즈 올 댓,미국의 mz세대 스토리 ..근데 남주가 알라딘 남주랑 유세윤 닮아서 동일인인 줄 알았는데 아니네 ㅋㅋㅋ,6
제8일의 밤,지루하지 않게 잘 봤습니다,10
서울괴담,개노잼 저 무서운것 ㄹㅇ 못 보는데 계속 눈떠서 본 영화는 이게 처음임 정말러닝타임 쓸데없이 길어서 언제 끝나나하고 쳐다봄 중간에 나간 사람들이 승리자임 진짜 공짜로 본 건데도 돈 아깝다 생각듬^^ 다 최악인데 감상포인트라고 할 게 있나...,1
이웃사촌,김대중 혼외자는 영화로 안나오냐?,1
야차,"으아.. 재미없어....아니 사람이 몇이 나오는데 캐릭터가 어떻게 이렇게 똑같을 수가 있죠? 다들 적당히 진지하고 목소리 톤도 적당히 다 똑같고.. 여자 남자 생긴것만 다르지 다 같은 사람이네요. 그 와중에 장첸도 보이네요. 겉만 따라하면 뭐합니까. 이 답답함을 뚫어 줄 출구가 없어요. 머리 아픕니다. 사람 잡아먹는 흉악하고 사나운 귀신.. 종잡을 수 없는 시한 폭탄 같은 인물.. 대사로만 캐릭터 줄줄 설명하면 뭐 하나요. 외적으로나 캐릭터로나 그냥 주인공이 한국 형사라 해도 이렇게하고 나올거 같네요. 야차라는 별명이 부끄러울 정돕니다. 감독님이 배우들 무조건 중간톤으로 천천히 읇조리라고 강요하셨나요? 아님 배우들 단합력이 이런 난국을 만든 건가요. 자극적이라는게 아닙니다. 사람이, 표현이, 대사, 말투가 너무 다 똑같아요. 차라리 책으로 읽었으면 상상력으로 그릴 수나 있지 영화가 너무 갖혀있고 답답했어요. 이수경 배우는 진짜 연기를 사랑하시네요. 그래도 줄줄줄 설명 대사에서는 정말 배우님이라도 난감했겠어요. ",1
007 노 타임 투 다이,작품성에 주는 점수가 아닌 제임스 본드에게 주는 그리고 다니엘에게 주는 감사함이다. 누구에게나 끝은 있다 ,10
니 부모 얼굴이 보고 싶다,이시대에 꼭 봐야할 영화입니다!,10
웨이트: 감각에 눈뜰 때,자연이 예뻐서 보는 내내 자연 힐링. 여자는 같은 여자지만 도저히 이해가 안감,2
서울괴담,진짜 왠만하면 영화 다보고 나오는데 3류 B급보다 못한 개연성 1도없는 시나리오 보다 유치하고 시간아까워 30분 안되서 바로나왔습니다ㅋㅋ 돈아깝네요 안본눈삽니다 진심,1
꽃다발 같은 사랑을 했다,"낭만에 현실이 들어올 때, 마음을 지킬 수 있도록 하자.",10
서울괴담,1점도아깝다  ㅡㅡ써글 15000원 버리구옴,1
섹시 보이즈,가벼운 인스턴트 음식같은 영화,6
장고:분노의 추적자,2시간40분가량되는 영화에 한시간 남짓 출연하는 디카프리오의 존재감이란…,8
랜드,주인공의 고통과 아픔이 너무 절절하게 느껴졌어요. 삶의 의미란 무엇인지 생각해보게 해주는 영화였습니다. ,10
링컨 차를 타는 변호사,강추입니다 꼭 보세요ㅎㅎ꿀잼꿀잼!,10
차타레 부인의 사랑,80년대에는 유명했던 영화..  국내에 개봉할때 편집심하게 했던걸로 아는데..,7
생일,우리 마음에 새겨질 2014년 4월 16일,7
니 부모 얼굴이 보고 싶다,부모의 역할을 생각하게 하는영화,10
인터스텔라,그냥 굿굿굿입니다...,10
니 부모 얼굴이 보고 싶다,모두가 꼭 보시길 바랍니다.,10
콜,본 지 시간이 많이 지났음에도 아직도 전종서님 보면 너무 무서움..연기력 갑,10
버블,눈은 즐거운데 감동은..,4
중경삼림,"한 잔의 아름다운 술, 고요한 향기, 달콤한 담배 연기와 기억, 설렘으로 가득차 있는 영화.",10
니 부모 얼굴이 보고 싶다,진짜 너무 재밌음.. 꼭보세뇨 다들,10
감쪽같은 그녀,눈물 콧물 다 흘렸네요ㅠㅠ정말 좋은 영화에요!   스토리도 괜찮고 연기도 정말 다들 잘하시고!!뭐하나 부족한게 없네요!!,10
중경삼림,최고최고최고 만년 동안 보고싶은 영화,9
약속의 네버랜드,높은 담장도 무너뜨리는 희망,6
니 부모 얼굴이 보고 싶다,진짜 너무 재미있고 또 보고싶네요 ㅠ 우연히 친구랑 보게되었는데 이렇게 재미있을줄 몰랐습니다... 마지막에 결과가 궁금증을 유발 시키고 끝나 좀 당황 스러웠지만.... 최근 본 영화 중 최고였고 학생으로써 생각이 더 많이 드는 영화였습니다! 짱!!!,10
신비한 동물들과 덤블도어의 비밀,앞 시리즈 안봤는데 재미있게 관람했어요 극적인 전개는 적었는데 판타지 면에서는 재미있었어요,7
불도저에 탄 소녀,김혜윤이란 배우를 발견하다,7
친정엄마,진짜 여친한테 눈물없다고 상관없다고 해놓고선 같이보는데 그냥 대놓고 울면서봄..,10
러브 & 드럭스,이영화가 주는 메세지가 전반부 보다 후반부로 갈수록 몰입하게 만들었음.,9
버블,일단 OST가 미침작화랑 구도도 좋음,10
하늘의 푸르름을 아는 사람이여,"잔잔하지만 재밌게 봤어요. 일상에 지쳐서 꿈을 잃어버린 30대는, 보고나서 생각이 많아질거 같아요. 우물한 개구리는 바다를 모르지만, 하늘의 푸름을 안다는 대사가 생각납니다. 평범한 30대들아 힘내자!!!",8
메멘토,현실을 왜곡하는 진실도 진실일까,8
경마장 가는 길," 나의 세대와는 맞지 않지만, 마치 INTJ와 ENFP의 연애를 보는 것 같았다. 같은 생각을 할 거라는 남배우의 오해, 다 잃고 나서야 깨닫는 본인의 무지함. 그것을 마지막 장면에서 글로 써내려서 이해한듯 한 연출까지. 공감이 부족한 자의 이해를 통한 사랑이 참 불쌍하다고 느꼈다. 나의 모습인 것 같기도 하다. 폭력성과 여성에 대한 존중은 많이 낙후 된 예전 사회의 모습을 보여주지만 개인의 가치관의 차이를 예전에도 표현했다는 것이 대단했다. 많은 연애 중 하나의 케이스라고 작가도 생각했길…… 사랑이라는 것은 이해로 하는게 아닌 서로의 경험과 존중, 그리고 정서적인 안정속 본능적인 성적 교류에서 생긴 공감 인것인가? 사랑에 대해 다시 한 번 생각해봤다. 정말 궁금한 건 이해력있는 이 남주가 나중에 누군가를 새로 만날 수 있을까 하는 것.",10
앵커,정말 쟁쟁한 배우들의 열연이 돋보이는 영화..천우희 배우님이 잘하는건 알았지만 이정도일줄이야...ㅜㅜ잘봤습니다ㅠ,10
니 부모 얼굴이 보고 싶다,뭔지  모를 찝찝함에 계속 압도됨,10
달빛 그림자,진짜  요근래 극장에서 본것중에 단연코 가장 재미없다고 말할수있습니다 감독이 무엇을 말하는지도 모르겠고 전개도 이리저리 섞고 잘라낸것도 많고 연계성이 개판입니다 고마츠 나나 얼굴볼꺼면 보세요 그거 아니면 당신의 시간을  다른곳에 소중히 쓰세요 ,1
버블,확실히 스토리는 진부한면이 있지만.. 너무 좋은 애니. 시간 아깝지않음,10
폴 프롬 그레이스,이거 실화는 아니겠죠..와 올만에 몰입하면서 잘봣네요 반전 짱짱,10
배니싱: 미제사건,"왜 이렇게 만들었지 계속 의문가는 영화, 12부작 드라마의  줄거리 보는 듯함,  소재도 괜찮고 외국배우 나오고 국내 B급이상 A급 배우도 나오는데 영화가 왜이러지?  정말 만들다가 만 듯한 영화,  감독이 망칠려고 작정한듯한 만든 영화, 이영화는 뭘까? ",1
더 배트맨,"활동을 시작한지 2년된 초기 배트맨, 로버트페틴슨 눈빛연기가. 인상적이다",10
신비한 동물들과 덤블도어의 비밀,저는 재미있게 봤습니다 !!,10
야차,어거지 반일 영화 대체 언제까지 나올라나. 전교조 586 세대들 다 늙어 죽어야 되나.,2
트루먼 쇼,영화보는내내 궁금한적도 많았으나 여튼 명작은 명작. 어떻게 이런 생각을 하지 대단,10
신비한 동물들과 덤블도어의 비밀,나름 나쁘지않았는데 평점왜이럼,8
니 부모 얼굴이 보고 싶다,완전한 피해자도 완전한 가해자도 없다. 잘못한건 뉘우칠 수 있게하기,8
회사원,재밌다..신대리 맘에 들음..ㅎㅎ,10
어드리프트:우리가 함께한 바다,영화끝나고30분동안 영화검색했네요.# 넘잼있고감동적실화라니..,10
신비한 동물들과 덤블도어의 비밀,조앤 k 롤링 작품들 덕후만 이해할 수 있는데 그 사람들이 제일 실망하는 영화,2
살인의 추억,n차 보기중입니다. 강추해요.,10
니 부모 얼굴이 보고 싶다,와이번년도영화왜다재밋냐,10
드림걸즈,영화보다 OST인 listen이 더 유명. 음악은 알지만 영화는 못본 사람이 많은데 영화도 재밌다.,9
니 부모 얼굴이 보고 싶다,뭔가 생각할 거리가 많은 영화네요.,7
서울괴담,와..내 만이천원 다시 뱉어내 이 사기꾼놈들아,1
봄날,연기는 좋으나 너무나 한정된 공간에서만 진행 해서 답답하긴 합니다,7
바람,그라믄 안대!!! 너무 재밌습니다,10
언차티드,내가 이제 나이를 먹긴했나보다... 너무 유치하고 재미도 없고 뻔한 스토리에...후..,4
앵커,처음에는 단순 공포인줄 알았으나마지막 반전과 깊은 생각/반성을 하게되는 영화였어요! ,8
언차티드,다른 영화 찍으면서  주말에 틈틈이 촬영했나...,4
맘마미아!,"스토리는 좀 약하지만,음악이 흥겹고 명작이네요~~ 오래된 영화지만 꿀잼 이에요^^",10
위대한 쇼맨,아직도 새로 개봉하고있는 영화를 보면서 이 영화를 뛰어넘는 작품은 본적이 없습니다... 간절하게 재개봉만을 기다리고있네요,10
신비한 동물들과 덤블도어의 비밀,최악 노잼 돈날림 다신안봄 c금영화,2
자객 섭은낭,정적인 분위기. 절제된 무협.,6
여름날 우리,계속 돌려보고싶은 영화. 뒷부분부터는 자꾸 눈물이 흐르네요,10
니 부모 얼굴이 보고 싶다,시간 가는줄 모르고 봤어요 과연 우리가 저 상황이어도 달랐을까.,10
서울괴담,영화스토리가 바로바로이어저서 좋았어요 개인적으로는 귀신보다 사람이 더무섭다라는걸 알게해주는영화인거같아요,10
서울괴담,연기는 무난..초반 스토리까지는 볼만했는데 뒤로갈수록 유치하고 대충만든 느낌 ,1
부기나이트,굉장히 허술한데 그러려니 하고 보면 꽤 재밌어요 ㅋㅋㅋ 최귀화 님의 주연작이라 맘에 듭니다. ,7
니 부모 얼굴이 보고 싶다,이게 뭐냐? 진심 기승전결 다 뒤졌고 하나도 재미없다ㅈ ㅗ ㅇ 나 고고고구마태어나서 영화평 처음 써본다,1
매그놀리아,과거는 나를 잊지 않는다라는 메세지 하나,6
봄날,잔잔합니다. 주말에 혼자보기 좋은영화네요.,7
용서는 없다,상당히 수준높은 작품이다. 어째서 관객수가 이것밖에 안 됬는지...,9
더 버블,웃김ㅋㅋ 취향 차이인 듯,10
세븐틴 파워 오브 러브 : 더 무비,진짜로 애들 노래부르고 춤추는거 보고노래 따라서 부르고싶었음 애들 얼굴이 엄청 크게 나와서 좋고 재밌었음 ,10
이터널스,다들 별로라고 해서 기대 안하고 봐서 그런지 꽤 괮찮게 봤음,10
서울괴담,우오ㅓ아아어아ㅏ와 대박.,10
열대왕사,아쉬운 후반 전개와 주제가(?)가 선정된 의도를 이해하기 힘든것 제외하고는 괜찮았어요,7
서울괴담,사운드 몰입감은 역대급인데 스토리도 그렇고 후반가면 너무 억지로 끼워맞춘 엔딩 + 뇌절 영화관 오늘 갔는데 좌석 꽉 찼었는데 중간에 60% 관객들 나갔더라,1
더 퍼지:거리의 반란,1편에 비해 많이 발전한 영화. 이정도면 B급영화로서 모든 것을 갖춘 영화임. 2편이 기대이상이라서 3편을 보기로 결정한 나는 처절한 후회를 하게 되는데.,7
더 배트맨,아... 정말 기대 많이 했었는데 기대 이하네요~ 지루하고 재미없었습니다 DC 영화는 이제 안봐야 겠습니다!,4
서울괴담,현우야 데뷔 축하한다!! 넷플릭스에도 나오면 좋겠다,6
니 부모 얼굴이 보고 싶다,배우들이 시놉 사기를 당한건지.. 연출이 너무 엉망진창임 연출이 이랬다저랬다 나름 반전을 주고 싶었던것같은데  학폭위 수사도 하나도 제대로 이루어진것도 없고 가해자 핸드폰도 조사도 안해봄? 배우들 연기가 아까움,4
언노운,너무 스토리의 개연성이 부족하네요.병원에서 간호사등을 목을 살짝 돌려서 맘대로 죽이던 사람이 택시 기사 지나는 목을 살짝돌려서 죽이지 않고계단으로 내려가던 지코는 또 왜 죽어있어..ㅎㅎㅎ집안을 다 부수는데 밖에있던 특수훈련받은 암살자는 문만 살짝 열어본후 나가고..뭐 계속 보다보면 숨막힐 정도로 연출이 엉망인 영화..,4
고스팅 글로리아,가볍게 웃으면서 볼만한 영화 ㅎㅎ 처음부터 흩뿌려진 많은 이야기를 모두 정리하고 끝내서 시원!,8
앰뷸런스,우리가 마이클베이 감독 영화에서 기대하는 것을 충분이 느낄 수 있음. 엔딩에 신파? 뭐 어쩌겠어. 마이클베이 영화인걸...아마 감독도 그렇게 끝내지 않고선 개운치 않을 듯.ㅋㅋㅋ,9
니 부모 얼굴이 보고 싶다,영화보다 더 잔혹한 현실에 씁쓸함이 밀려온다..,7
서울괴담,솔직히 진짜 공포영화치고 하나도 안 무섭고 오히려 잠이 왔어요… 근데 방탈출편은 나름 재미있었음 주학년씨 잘생겼습니다 그래도 눈호강했으니… 주학년씨 사랑합니다,7
패러렐 마더스,"모르면 답답하고, 알면 어려운 영화였다.",7
바후발리: 더 비기닝,"반지의 제왕을 꿈꾸는 인도산 근육질 콧수염 아재의 일대기... 전쟁씬 빼곤 별로... 군무와 인도식 뮤지컬, 국뽕끼로 범벅된 인도호빗. ",4
앵커,여성아나운서가 교체되는 동안 남자 아나운서는 한번도 교체되지 않았다 ,10
스켈리톤 키,재미도없고 공포도없고 신선도 없고..,6
노바디 ,충분히 재밌어요 뻔하면 뻔하지만 여러모로 재밌습니다 ,10
영희,여주인공 진심 이쁘네요 크게 될듯~,10
신비한 동물들과 덤블도어의 비밀,매즈 미켈슨 데랴다놓고 너무 스토리 구리게 전개함 아쉬움이 많지만 그나마 2편보다는 나앗음.... 그치만 여전히 기승전결도없고 밋밋하고 지루함,4
앵커,슬픈스릴러 반전 천우희의 연기가 돋보이고 엄마의 욕심에서 비롯된..,10
"틱, 틱... 붐!",뮤지컬 영화로서의 완성도는 9.0~9.5점앤드류 가필드를 비롯한 출연진들의 연기와 노래가 흥겹게 잘 어우러진다.뮤지컬 영화를 좋아한다면 너무 자세히 알아보지 말고 바로 감상하는것을 추천~,10
로스트 시티,"이런 영화에 탄탄한 스토리를 기대하진 않았고, 산드라 블록의 개그는 여전히 빛이 난다.",8
앵커,한국사회의 짙은 그림자를 주제의식으로 담은 영화. 배우들의 연기가 돋보였다,8
중경삼림,내 장례식장에서도 틀어줬으면 하는 영화,10
니 부모 얼굴이 보고 싶다,지금도 우리 주변에서 일어나고 있는 일. ,10
고고70,처음에 기대없이 보다가 마지막엔 이걸 본 자기를 칭찬하게 된다,9
세븐틴 파워 오브 러브 : 더 무비,사운드 빵빵해서 너무 좋았습니다,10
서울괴담,저는 엄청 재미있었어요마지막 방탕출 보고 주학년 배우에게 반했습니다,10
부기나이트,난 이런거 좋아~ ㅋㅋㅋ,10
베놈 2: 렛 데어 비 카니지,톰 하디 연기 존잘! 베놈 커여웡 ,10
신비한 동물들과 덤블도어의 비밀,저는 생각보다 재밌게 봤어요.볼 거리가 많습니다.동물들이 많이 나오진 않았지만 큰 도움을 주더군요.,8
안나,멋진 모델 배우 눈이 호강하고 시간때우기용 볼만한 영화.  연출은 뭔가 촌스러운 느낌.,5
홍도경,내 이름이 홍도경이다....,10
내가 처음으로 사랑한 소녀,개쳐울음 나도 이런 애절한 연애감정 느껴보고싶다  나중에 vod나오면 구매의향 있습니다~~~♡♡,10
뜨거운 피, 영화 자체가 재미가 없다. 스토리가 이해가 안 감.,1
베놈 2: 렛 데어 비 카니지,"1편의 내용이 기억나지 않아도, 적당히 집중하고 보아도 무리가 없는 속편",7
로스트 시티,생각없이 보기 좋아요.기대하고 보면 실망할듯,6
스펜서,공감과 설득이 도저히 안된다.,4
뜨거운 피,우려먹을대로 우려먹은 건달사골 내용 이라 진부할거라 예상하고봤으나 한명한명 반가운 배우들의 탄탄한 사투리연기에 보는내내 지루하지않고 몰입되었던 두시간이였음. 재밌네요. ,8
이상한 나라의 수학자,폭력 좀비 히어로 물만 가득한 영화판에간만의 명작,10
노바디 ,억지스러운 전개 없이 시원한 액션만을 즐길 수 있는 영화. 킬링타임용으로 최고.,10
세븐틴 파워 오브 러브 : 더 무비,살다살다 이런 B급 공장판 아이돌도 영화 찍어 내보내네 와...,1
1급기밀,자칫 어설프게 만들면 지루해질 수 있는 스토리를 아주 기가막히게 몰입감을 끌어낸 것에 박수...,9
서울괴담,아니 아까 나만 무서웠나?좀 허술한느낌이긴한데 분명 무서웠음 나는워낙 겁이 완전완전완전 많아서...그런걸수도있는데 난소리질렀음 몇번이나...내가 소리지르니까 남편이 손꽉잡아줌 ,6
니 부모 얼굴이 보고 싶다,재미없어요.. 결말은 무슨 만들다가 만 느낌..,2
니 부모 얼굴이 보고 싶다,"연기력, 연출력은 만족스러웠고 재미도 있었지만 스토리 전개가 작위적이다.마지막 반전은 너무 뜬금포였다. 그렇다고 반전이 없었으면 너무 뻔한 스토리. 작품성이 매우 높지는 않은 것 같다",8
신비한 동물들과 덤블도어의 비밀,뭔가 무속신앙의 한 장면을 본듯한 느낌이다. 현실 사회에서 리더를 뽑는데 무속이 끼어들면 안되는 이유를 알 수 있게 하는 영화다,5
니 부모 얼굴이 보고 싶다,너무 재미없어요...,1
쿠폰의 여왕,유독 예쁜분이 비비 렉사였구나. 폴 연기 잘하셔요♡ 퇴근후 아무도 없는 집에서 불도 안켜고 쇼파에 앉아 TV 보는 사람의 성격 묘사ㅠㅠ 혼자 살아도 힘내요!,6
365일: 오늘,진심 일점도 아까움. 야동도 아니고,1
너의 결혼식,여운이 오래 가요 저에게는 여러 번 봐도 감정이 오는 영화입니당 ,10
니 부모 얼굴이 보고 싶다,괜히 봤어요. 기분이 정말 안 좋아지는영화..,1
중경삼림,"고양 스타필드 내 상영관이 넓어서 더욱 좋았고한번은 보고 싶었던 영화였는데, 이번에 볼 수 있어서 좋았음.",10
영희,영화를 보고있는네네 배우 기은수(영희)를 보고있자면 나도 모르게미소짓게 되는 영화 ,10
이상한 나라의 수학자,"그냥 영화적 재미나, 극적인 상황도 없고 . . 그럭저럭 . . . 최민식의 연기만 보인다. . .",7
신비한 동물들과 덤블도어의 비밀,내가 오늘 안 덤블도어의 비밀(?) :덤블도어는 게이다(??),10
노아,미신에 정신나간 개독이 얼마나 위험한 존재인지 알려주는 교육영화,10
찍히면 죽는다,싸구려 슬래셔 영화 보는 재미는 있다. 못 만들어서 낄낄대면서 볼 수 있는 그런 재미.,5
니 부모 얼굴이 보고 싶다,진짜 인생 최악의 영화 입니다 ,1
니 부모 얼굴이 보고 싶다,나름 반전스토리 연출하신거 같은덕 별로 수박 겉핥기식으로다아는 뻔한 이야기...문소리님 피해자엄마역 진짜 별감동없음,6
서울괴담,2022년을 보내는 동안 가장 아까운 시간이었습니다.,1
봄날,봄날이란 가면 쓴 겨울날,5
니 부모 얼굴이 보고 싶다,스토리가 탄탄하지 않은 느낌...뭔가 애매하고 그저그럼...,6
점쟁이들,코미디영화인데 웃기면 됐지!,8
더 컨트랙터,시간내내 긴장감을 늦추지 않고 재밌게 봤다. 액션속에서 미국을 지탱하게 하는 중요한 가족애를 엿볼수 있었다. ,10
추억의 마니,감동적이에여 추천해요,10
파수꾼,별내용 없는데 남는 감정이 많은 작품,10
